ENSEMBL	ENTREZID	SYMBOL	GENENAME	H1	H2	H3	W1	W2	W3
ENSMUSG00000000339	66368	Rtca	RNA 3'-terminal phosphate cyclase	707.515263274444	707.238841233453	679.19186155343	735.628702984572	707.925653068548	745.206896202916
ENSMUSG00000000340	13171	Dbt	dihydrolipoamide branched chain transacylase E2	2101.1622798952	2152.74711271243	2088.03441399739	2562.01720694627	2271.77535357538	2168.58029548443
ENSMUSG00000000346	23994	Dazap2	DAZ associated protein 2	4702.5127485442	4671.39658752553	4538.09090514355	5406.52506002297	4726.08206020675	5067.54803184956
ENSMUSG00000000355	68995	Mcts1	malignant T cell amplified sequence 1	927.858387316551	651.642369253492	869.013171916829	899.357975435683	944.723084060118	779.785625288089
ENSMUSG00000000359	19700	Rem1	rad and gem related GTP binding protein 1	78.096297128848	113.778826377594	81.695247498172	73.7934749075433	60.4326777009736	89.6224202819794
ENSMUSG00000000374	216131	Trappc10	trafficking protein particle complex 10	2918.38424627921	3122.45301933965	2957.84851971323	2768.4083320783	3064.80008340652	3181.24307583593
ENSMUSG00000000378	216527	Ccm2	cerebral cavernous malformation 2	756.790307891455	841.704726952428	716.835750106509	756.383117802318	748.625211520224	865.173915478006
ENSMUSG00000000384	21379	Tbrg4	transforming growth factor beta regulated gene 4	2030.50372535005	2584.58947646375	2117.66896456046	2040.85079041174	2168.17647751656	2292.07575650291
ENSMUSG00000000385	50528	Tmprss2	transmembrane protease, serine 2	0	2.58588241767259	4.80560279401011	4.61209218172145	2.46663990616219	4.23413009206202
ENSMUSG00000000386	17857	Mx1	MX dynamin-like GTPase 1	4.64858911481238	9.05058846185406	24.8289477690523	4.61209218172145	3.69995985924328	3.52844174338502
ENSMUSG00000000392	14089	Fap	fibroblast activation protein	299.369138993917	232.729417590533	445.319192244937	205.238102086605	218.297631695354	215.234946346486
ENSMUSG00000000399	66108	Ndufa9	NADH:ubiquinone oxidoreductase subunit A9	13695.6732500602	12722.5414949491	12867.0014809621	13911.2230431173	13809.483514649	13875.9500000359
ENSMUSG00000000402	54156	Egfl6	EGF-like-domain, multiple 6	26.9618168659118	19.3941181325444	20.8242787740438	4.61209218172145	8.63323967156766	21.1706504603101
ENSMUSG00000000409	16818	Lck	lymphocyte protein tyrosine kinase	5.57830693777485	5.17176483534518	3.20373519600674	0	7.39991971848657	2.11706504603101
ENSMUSG00000000416	30785	Cttnbp2	cortactin binding protein 2	84.6043218895853	64.6470604418147	73.6859095081551	50.733013998936	106.065515964974	58.5721329401913
ENSMUSG00000000420	14423	Galnt1	polypeptide N-acetylgalactosaminyltransferase 1	2695.25196876822	2461.7600616243	3000.29801106032	2778.78553948718	2684.93753785754	2745.83336470222
ENSMUSG00000000435	17877	Myf5	myogenic factor 5	130.160495214747	147.395297807338	143.367150021302	204.085079041174	223.230911507678	202.5325560703
ENSMUSG00000000439	67027	Mkrn2	makorin, ring finger protein, 2	2061.18441350781	2041.55416875251	2044.7839888513	2240.3237772712	2242.17567470143	2201.74764787225
ENSMUSG00000000440	19016	Pparg	peroxisome proliferator activated receptor gamma	131.090213037709	218.507064293334	214.650258132452	149.892995905947	203.497792258381	280.863962773447
ENSMUSG00000000441	110157	Raf1	v-raf-leukemia viral oncogene 1	5807.94724004659	5775.56837987173	5802.76537376721	6061.44214982742	5515.40683017865	6272.15804304121
ENSMUSG00000000486	54204	Septin1	septin 1	28.8212525118368	33.6164714297437	45.6532265430961	27.6725530903287	38.2329185455139	42.3413009206202
ENSMUSG00000000486	100043580	Gm4532	predicted gene 4532	28.8212525118368	33.6164714297437	45.6532265430961	27.6725530903287	38.2329185455139	42.3413009206202
ENSMUSG00000000489	18591	Pdgfb	platelet derived growth factor, B polypeptide	1215.14119461196	1439.0435654348	1480.92659435412	1045.79190220534	1282.65275120434	1293.52674312495
ENSMUSG00000000530	11482	Acvrl1	activin A receptor, type II-like 1	570.84674329896	770.592960466432	854.596363534799	510.789209125651	741.225291801738	738.855701064823
ENSMUSG00000000531	56149	Tamalin	trafficking regulator and scaffold protein tamalin	195.24074282212	231.436476381697	250.692279087528	196.013917723162	240.497390850813	239.934038550181
ENSMUSG00000000532	11479	Acvr1b	activin A receptor, type 1B	727.969055379619	752.491783542724	538.227512929133	712.568242075965	608.026736868979	911.043658142012
ENSMUSG00000000538	216810	Tom1l2	target of myb1-like 2 (chicken)	3812.77279196911	4384.36363916387	3823.65795643405	3924.89044664496	3904.69097145474	4562.9808625455
ENSMUSG00000000552	29813	Zfp385a	zinc finger protein 385A	2249.91713156919	2812.14712921894	2317.90241431088	2111.185196183	2371.67426977494	2304.07245843042
ENSMUSG00000000555	16402	Itga5	integrin alpha 5 (fibronectin receptor alpha)	1716.25910118873	1600.66121653933	1946.2691315741	1277.54953433684	1764.88085285905	1191.90762091546
ENSMUSG00000000560	14395	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	4.64858911481238	6.46470604418147	4.80560279401011	4.61209218172145	9.86655962464875	4.93981844073902
ENSMUSG00000000561	70465	Wdr77	WD repeat domain 77	738.195951432206	597.338838482368	705.622676920485	752.924048666027	812.757849080441	638.647955552688
ENSMUSG00000000563	11950	Atp5pb	ATP synthase peripheral stalk-membrane subunit b	14546.3650580709	13184.1215065037	12798.1211742479	15736.4585240336	15203.1350616306	14920.3687560779
ENSMUSG00000000567	20682	Sox9	SRY (sex determining region Y)-box 9	496.469317461962	506.832953863828	329.183791389693	539.61478526141	409.462224422923	388.834280121029
ENSMUSG00000000568	11991	Hnrnpd	heterogeneous nuclear ribonucleoprotein D	2329.87286434396	2120.42358249152	2180.14180088259	2440.94978717608	2454.30670663138	2376.05266999547
ENSMUSG00000000579	100040563	Dynlt1c	dynein light chain Tctex-type 1C	1.85943564592495	1.29294120883629	0	0	0	7.76257183544704
ENSMUSG00000000581	57316	C1d	C1D nuclear receptor co-repressor	1794.35539831758	1361.46709290462	1735.62354243665	2153.84704886392	1849.97992962164	1731.05351930469
ENSMUSG00000000594	14667	Gm2a	GM2 ganglioside activator protein	368.16825789314	422.791775289468	370.031415138779	312.469245311628	252.830590381624	327.43939378613
ENSMUSG00000000600	79264	Krit1	KRIT1, ankyrin repeat containing	1491.26738803181	1105.46473355503	1459.30138178107	1459.72717551484	1392.41822702856	1340.80786248631
ENSMUSG00000000605	12727	Clcn4	chloride channel, voltage-sensitive 4	2953.71352355179	2856.10713031937	3090.80353034751	2925.21946625683	3243.63147660328	3003.40961196933
ENSMUSG00000000617	108072	Grm6	glutamate receptor, metabotropic 6	0	0	0.800933799001686	3.45906913629109	8.63323967156766	0.705688348677003
ENSMUSG00000000627	20355	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	8.36746040666228	6.46470604418147	5.6065365930118	0	7.39991971848657	8.46826018412404
ENSMUSG00000000628	15277	Hk2	hexokinase 2	16150.1283026812	17957.6604495273	17502.8063095838	17685.0674708109	17714.1744861038	18179.943238617
ENSMUSG00000000631	360013	Myo18a	myosin XVIIIA	16678.2080261239	18854.9616484597	17860.8237177376	14326.3113394723	17305.9455816339	19066.2878045553
ENSMUSG00000000632	20370	Sez6	seizure related gene 6	12.0863316985122	14.2223532971992	12.814940784027	10.3772074088733	13.566519483892	23.2877155063411
ENSMUSG00000000682	23833	Cd52	CD52 antigen	25.1023812199868	41.3741186827614	23.2270801710489	8.07116131801254	14.7998394369731	3.52844174338502
ENSMUSG00000000686	67477	Abhd15	abhydrolase domain containing 15	17.664638636287	46.5458835181066	16.8196097790354	25.366506999468	16.0331593900542	25.4047805523721
ENSMUSG00000000690	15414	Hoxb6	homeobox B6	22.3132277510994	40.0811774739251	20.8242787740438	28.8255761357591	44.3995183109194	38.8128591772352
ENSMUSG00000000693	16950	Loxl3	lysyl oxidase-like 3	200.819049759895	244.36588847006	327.58192379169	104.925097134163	180.06471314984	194.064295886176
ENSMUSG00000000708	18519	Kat2b	K(lysine) acetyltransferase 2B	4432.89457988508	3701.69068089831	4496.44234759546	4651.29496526609	4190.82120056956	4537.57608199313
ENSMUSG00000000711	19344	Rab5b	RAB5B, member RAS oncogene family	1922.6564578864	1706.68239566391	1843.74960530188	1879.42756405149	1849.97992962164	1976.63306464429
ENSMUSG00000000732	50723	Icosl	icos ligand	77.1665793058855	71.1117664859962	66.4775053171399	41.5088296354931	67.8325974194602	87.5053552359484
ENSMUSG00000000738	234847	Spg7	SPG7, paraplegin matrix AAA peptidase subunit	3444.60453407597	4344.28246168995	3282.22670830891	3833.80162605596	3641.99382144847	4282.82258812073
ENSMUSG00000000739	57429	Sult5a1	sulfotransferase family 5A, member 1	33.4698416266491	36.2023538474162	23.2270801710489	40.3558065900627	41.9328784047572	42.3413009206202
ENSMUSG00000000740	270106	Rpl13	ribosomal protein L13	371.88712918499	453.822364301539	370.031415138779	441.607826399829	452.628422780762	364.135187917334
ENSMUSG00000000743	234852	Chmp1a	charged multivesicular body protein 1A	1826.89552212127	2178.60593688916	1746.83661562268	1730.68759119098	1801.88045145148	2009.09472868343
ENSMUSG00000000751	68275	Rpa1	replication protein A1	2788.22375106446	2799.21771713058	2615.0488537405	3010.54317161868	2676.30429818597	3242.63796217083
ENSMUSG00000000753	20317	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1	2063.04384915373	2991.86595724719	3220.55480578578	985.834703842961	1343.08542890531	1593.44429131267
ENSMUSG00000000759	259279	Tubgcp3	tubulin, gamma complex associated protein 3	634.067555260409	575.358837932151	623.126495623312	609.949191032662	625.293216212115	669.698242894476
ENSMUSG00000000776	67065	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D	650.802476073733	753.78472475156	840.98048895177	690.660804212788	865.790607062928	637.942267204011
ENSMUSG00000000782	21414	Tcf7	transcription factor 7, T cell specific	30.6806881577617	24.5658829678896	43.250425146091	26.5195300448984	28.3663589208652	30.3445989931111
ENSMUSG00000000787	13205	Ddx3x	DEAD box helicase 3, X-linked	12337.3555107121	9563.88612176207	13283.487056443	13407.3519722643	12493.5311247115	11842.1561791488
ENSMUSG00000000792	114479	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5	3.7188712918499	3.87882362650888	3.20373519600674	6.91813827258218	8.63323967156766	6.35119513809303
ENSMUSG00000000794	140493	Kcnn3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	1018.04101614391	495.196482984301	668.779722166408	905.123090662835	498.261261044762	971.027167779557
ENSMUSG00000000804	237898	Usp32	ubiquitin specific peptidase 32	1304.39410561635	1033.0600258602	1281.4940784027	1170.31839111182	1225.92003336261	1158.03458017896
ENSMUSG00000000805	12351	Car4	carbonic anhydrase 4	186.873282415458	283.154124735149	154.580223207325	216.768332540908	242.964030756976	266.04450745123
ENSMUSG00000000811	232223	Txnrd3	thioredoxin reductase 3	350.503619256853	368.488244518344	305.956711218644	343.600867538248	275.030349537084	352.138485989825
ENSMUSG00000000823	269401	Zfp512b	zinc finger protein 512B	1057.08916470833	998.150613221619	958.717757405018	1109.20816970401	949.656363872443	1021.13104053562
ENSMUSG00000000826	13002	Dnajc5	DnaJ heat shock protein family (Hsp40) member C5	3248.43407343089	3118.57419571314	3427.19572592821	3145.44686793403	3280.63107519571	3193.94546611212
ENSMUSG00000000827	66314	Tpd52l2	tumor protein D52-like 2	1568.4339673377	1406.72003521389	1542.59849687725	1692.63783069177	1558.9164206945	1510.87875451746
ENSMUSG00000000838	14265	Fmr1	FMRP translational regulator 1	687.06147116927	461.580011554557	730.451624689538	556.910130942866	603.093457056655	524.326443067014
ENSMUSG00000000861	14025	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	4.64858911481238	2.58588241767259	4.00466899500843	10.3772074088733	13.566519483892	3.52844174338502
ENSMUSG00000000876	59038	Pxmp4	peroxisomal membrane protein 4	693.569495930007	924.452964317951	608.709687241281	732.169633848281	739.991971848657	714.156608861128
ENSMUSG00000000881	53310	Dlg3	discs large MAGUK scaffold protein 3	132.019930860672	107.314120333412	179.409170976378	119.914396724758	141.831794604326	115.732889183029
ENSMUSG00000000884	13972	Gnb1l	guanine nucleotide binding protein (G protein), beta polypeptide 1-like	94.8312179421725	93.0917670362132	70.4821743121484	77.2525440438343	66.5992774663791	104.441875604197
ENSMUSG00000000889	13166	Dbh	dopamine beta hydroxylase	3.7188712918499	0	4.00466899500843	2.30604609086073	1.23331995308109	2.11706504603101
ENSMUSG00000000901	17385	Mmp11	matrix metallopeptidase 11	136.668519975484	128.001179674793	105.723261468223	104.925097134163	93.7323164341632	105.853252301551
ENSMUSG00000000902	20587	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	585.72222846636	689.137664309745	691.205868538455	571.89943053346	595.693537338169	582.898576007205
ENSMUSG00000000903	22364	Vpreb3	pre-B lymphocyte gene 3	0.929717822962476	9.05058846185406	2.40280139700506	3.45906913629109	4.93327981232438	3.52844174338502
ENSMUSG00000000915	29816	Hip1r	huntingtin interacting protein 1 related	395.130074759052	377.538832980198	380.443554525801	289.408784403021	372.46262583049	448.112101409897
ENSMUSG00000000916	100609	Nsun5	NOL1/NOP2/Sun domain family, member 5	267.758733013193	327.114125835583	249.891345288526	299.785991811894	247.8973105693	314.737003509944
ENSMUSG00000000934	72960	Top1mt	DNA topoisomerase 1, mitochondrial	495.539599639	482.267070895938	401.267833299845	464.668287308436	472.361542030059	407.182177186631
ENSMUSG00000000938	15395	Hoxa10	homeobox A10	594.089688873022	658.107075297674	529.417241140114	643.386859350143	584.593657760439	665.464112802414
ENSMUSG00000000942	15401	Hoxa4	homeobox A4	67.8694010762607	125.415297257121	84.098048895177	92.2418436344291	127.031955167353	87.5053552359484
ENSMUSG00000000957	17387	Mmp14	matrix metallopeptidase 14 (membrane-inserted)	585.72222846636	828.775314864065	930.685074439959	378.191558901159	587.060297666601	472.105505264915
ENSMUSG00000000958	20540	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	42.7670198562739	54.3035307711244	46.4541603420978	29.9785991811894	50.5661180763249	45.1640543153282
ENSMUSG00000000959	69089	Oxa1l	oxidase assembly 1-like	2214.58785429662	2611.74124184931	2242.61463720472	2454.78606372124	2360.57439019721	2462.85233688274
ENSMUSG00000000976	217026	Heatr6	HEAT repeat containing 6	477.874961002713	541.742366502407	520.606969351096	487.728748217044	415.628824188329	538.440210040554
ENSMUSG00000000982	20302	Ccl3	chemokine (C-C motif) ligand 3	1.85943564592495	0	10.4121393870219	0	1.23331995308109	0.705688348677003
ENSMUSG00000001014	78369	Icam4	intercellular adhesion molecule 4, Landsteiner-Wiener blood group	7.43774258369981	2.58588241767259	1.60186759800337	2.30604609086073	4.93327981232438	5.64550678941603
ENSMUSG00000001016	67781	Ilf2	interleukin enhancer binding factor 2	1170.51473910976	1108.0506159727	1142.1315973764	1180.69559852069	1070.52171927439	1196.8474393562
ENSMUSG00000001017	66511	Chtop	chromatin target of PRMT1	3891.79880692092	3836.15656661729	3787.61593547897	4018.28531332482	4005.82320760739	4140.97923003666
ENSMUSG00000001018	20615	Snapin	SNAP-associated protein	2365.20214161654	2364.78947096158	2289.06879754682	2633.50463576295	2499.93954489538	2621.63221533507
ENSMUSG00000001020	20198	S100a4	S100 calcium binding protein A4	76.236861482923	73.6976489036688	71.28310811115	53.0390600897967	46.8661582170816	47.2811193613592
ENSMUSG00000001025	20200	S100a6	S100 calcium binding protein A6 (calcyclin)	1144.48264006681	1069.26237970762	1138.9278621804	707.956149894243	933.623204482388	736.738636018792
ENSMUSG00000001027	110880	Scn4a	sodium channel, voltage-gated, type IV, alpha	11561.9708463613	15595.4568609834	12026.8219258093	12569.1042182364	12926.426428243	14089.0678813364
ENSMUSG00000001029	15896	Icam2	intercellular adhesion molecule 2	255.672401314681	293.497654405839	339.595930776715	221.38042472263	403.295624657518	262.516065707845
ENSMUSG00000001034	23939	Mapk7	mitogen-activated protein kinase 7	209.186510166557	178.425886819409	177.807303378374	122.220442815619	160.331593900542	194.769984234853
ENSMUSG00000001036	13855	Epn2	epsin 2	1192.82796686086	1283.89062037444	1216.61844068356	1268.3253499734	1133.42103688153	1311.87464019055
ENSMUSG00000001039	27078	B9d1	B9 protein domain 1	88.3231931814352	73.6976489036688	60.8709687241281	71.4874288166825	53.0327579824871	62.1005746835763
ENSMUSG00000001052	99683	Sec24b	Sec24 related gene family, member B (S. cerevisiae)	915.772055618039	1062.79767366343	931.486008238961	951.24401248005	860.857327250604	1011.95709200282
ENSMUSG00000001053	212706	N4bp3	NEDD4 binding protein 3	163.630336841396	191.355298907772	213.84932433345	185.636710314289	246.663990616219	172.187957077189
ENSMUSG00000001054	66089	Rmnd5b	required for meiotic nuclear division 5 homolog B	519.712263036024	559.843543426116	567.061129693194	535.002693079689	526.627619965627	540.557275086585
ENSMUSG00000001056	52530	Nhp2	NHP2 ribonucleoprotein	463.929193658275	558.550602217279	376.438885530792	546.532923533992	506.89450071633	489.74771398184
ENSMUSG00000001062	72325	Vps9d1	VPS9 domain containing 1	688.920906815195	769.300019257595	577.473269080216	564.981292260878	610.493376775142	697.925776841556
ENSMUSG00000001065	57247	Zfp276	zinc finger protein (C2H2 type) 276	412.794713395339	418.912951662959	429.300516264904	343.600867538248	411.928864329086	457.286049942698
ENSMUSG00000001082	68294	Mfsd10	major facilitator superfamily domain containing 10	113.425574401422	115.07176758643	99.3157910762091	78.4055670892647	86.3323967156766	103.030498906843
ENSMUSG00000001089	269593	Luzp1	leucine zipper protein 1	1530.31553659624	1387.32591708134	1878.18975865895	1513.91925865007	1785.84729206142	1539.81197681322
ENSMUSG00000001098	330171	Kctd10	potassium channel tetramerisation domain containing 10	1221.64921937269	1336.90120993673	1363.99025969987	1163.40025283924	1381.31834745083	1312.58032853923
ENSMUSG00000001100	67811	Poldip2	polymerase (DNA-directed), delta interacting protein 2	3830.4374306054	4196.88716388261	3941.3952248873	4043.65182032428	4226.58747920891	4114.86876113561
ENSMUSG00000001105	55978	Ift20	intraflagellar transport 20	568.057589830073	586.995308811678	648.756377191366	626.091513668687	584.593657760439	580.781510961174
ENSMUSG00000001119	12833	Col6a1	collagen, type VI, alpha 1	4416.15965907176	5166.59307050983	5907.68770143644	2284.13865299755	3264.59791580566	3148.78141179679
ENSMUSG00000001120	59093	Pcbp3	poly(rC) binding protein 3	93.9015001192101	68.5258840683236	111.329798061234	78.4055670892647	61.6659976540547	60.6891979862223
ENSMUSG00000001123	16859	Lgals9	lectin, galactose binding, soluble 9	421.162173802002	422.791775289468	598.297547854259	428.924572900095	506.89450071633	393.774098561768
ENSMUSG00000001127	11836	Araf	Araf proto-oncogene, serine/threonine kinase	3453.9017123056	3086.25066549224	3149.27169767463	3696.59188364975	3470.5623479702	3690.04437523205
ENSMUSG00000001128	18636	Cfp	complement factor properdin	141.317109090296	126.708238465957	133.755944433282	85.3237053618469	86.3323967156766	86.7996668872714
ENSMUSG00000001131	21857	Timp1	tissue inhibitor of metalloproteinase 1	145.035980382146	157.738827478028	218.65492712746	69.1813827258218	151.698354228975	55.0436911968063
ENSMUSG00000001134	22294	Uxt	ubiquitously expressed prefoldin like chaperone	143.176544736221	124.122356048284	125.746606443265	136.056719360783	161.564913853623	134.786474597308
ENSMUSG00000001138	94218	Cnnm3	cyclin M3	526.220287796761	770.592960466432	436.508920455919	549.991992670283	551.294019027249	547.614158573355
